rank,object_id,score,n_obs
233,ZTF25acfywpk,974.779480,15
234,ZTF18acatlzi,970.191101,25
235,ZTF26aauyjht,967.851746,11
236,ZTF23abvbwys,958.449585,22
237,ZTF21aaaosmn,952.526123,15
238,ZTF24abcvjlp,944.468201,15
239,ZTF19aabjrlk,935.748718,99
240,ZTF22aajigok,932.082825,17
241,ZTF25abbshoi,930.809021,39
242,ZTF23abcrhwl,928.206665,45
243,ZTF18abnpdqe,907.586853,1102
244,ZTF19acvrhxo,903.351624,17
245,ZTF19acynczz,899.278992,547
246,ZTF25ackyyzk,898.091309,42
247,ZTF18aakpzqg,897.412354,522
248,ZTF23aaqknaw,893.627747,57
249,ZTF19abubnwx,886.307922,17
250,ZTF25aazinqa,874.185608,16
251,ZTF19aboxjlj,868.952393,31
252,ZTF22aauzxok,863.561890,31
253,ZTF20acxhear,862.667358,279
254,ZTF22abmtwml,858.962830,22
255,ZTF25abdzwiy,857.313965,27
256,ZTF22aarbswn,847.634460,425
257,ZTF24absxyrg,844.999939,12
258,ZTF24aaxknvo,836.118042,28
259,ZTF18abfjqtj,830.295288,613
260,ZTF24abrouvy,813.954468,10
261,ZTF20acgywfp,812.658081,34
262,ZTF19aacjhta,810.421997,534
263,ZTF20acifimy,806.697327,28
264,ZTF23aarkohk,803.015503,14
265,ZTF23aarbxph,787.306152,17
266,ZTF20acumxrh,784.941772,30
267,ZTF18acrnhtg,780.974792,447
268,ZTF26aaivdmt,780.210632,38
269,ZTF19ackkqcz,777.932678,16
270,ZTF20abrnavu,775.275940,30
271,ZTF20abxpoxd,767.250854,289
272,ZTF24aawjctx,765.826599,20
273,ZTF20abphhgj,757.368347,16
274,ZTF21abcadhf,747.033142,461
275,ZTF19addxgra,735.749939,48
276,ZTF18acapumu,734.681458,24
277,ZTF23aadwfed,728.817200,46
278,ZTF21aawmujq,725.987488,63
279,ZTF22aanwibf,720.751831,288
280,ZTF20aavpyzi,716.632935,18
281,ZTF19adawqog,716.536560,696
282,ZTF25aawjwnv,715.058899,21
283,ZTF18abacxpl,714.942932,1213
284,ZTF19adbnaky,707.840515,20
285,ZTF18aaqpouu,702.124207,14
286,ZTF22aaihtwe,701.609985,22
287,ZTF19actjniv,693.271423,13
288,ZTF17aabwtnr,688.493286,422
289,ZTF20abfcesa,688.159912,43
290,ZTF25aceomlw,679.747742,12
291,ZTF25abkpyds,679.572144,45
292,ZTF21abtgbwr,675.682922,24
293,ZTF21aavdqgf,675.655884,55
294,ZTF21aapoiht,675.558960,40
295,ZTF23aaiysoq,670.821533,12
296,ZTF19aavxfib,670.091248,13
297,ZTF21aawgvpj,663.766418,15
298,ZTF25aaspxly,659.650452,23
299,ZTF23abhzwhl,659.169067,16
300,ZTF20abyhiuj,657.668335,16
301,ZTF18abaiuvj,657.179382,1196
302,ZTF24aagkvhf,653.603333,66
303,ZTF23aaqmveu,653.172791,26
304,ZTF21abcvhiw,647.187195,14
305,ZTF20acjbggn,638.695679,10
306,ZTF18aavqmue,638.248962,541
307,ZTF19aalayue,630.883240,1468
308,ZTF21aachthw,626.246033,10
309,ZTF23aafvqkr,626.156494,16
310,ZTF20abmgzuf,612.956116,48
311,ZTF23aaafclb,611.169983,13
312,ZTF23abkpmud,608.689575,21
313,ZTF23aaznleg,608.277100,36
314,ZTF20acpjogm,606.427307,16
315,ZTF19aanvddi,603.118286,594
316,ZTF19adbtqkh,602.616760,14
317,ZTF23aaixgtn,600.462646,13
318,ZTF22aajzfxb,592.863037,36
319,ZTF18abbrovt,587.051453,499
320,ZTF23aazprcc,586.969666,74
321,ZTF20abloggs,586.148376,23
322,ZTF24aaxobdu,584.870728,36
323,ZTF22abgbcdv,581.653809,11
324,ZTF21aagtcgb,573.534058,49
325,ZTF20aafsmpz,567.778748,51
326,ZTF18abcnbki,566.870117,1635
327,ZTF18absvfce,562.862122,423
328,ZTF20achzbfb,561.548096,19
329,ZTF23abekbjv,558.714722,29
330,ZTF19aamreoh,558.145996,92
331,ZTF20abyxmgo,556.212402,76
332,ZTF25aayghza,550.723816,106
333,ZTF18abfxnvd,543.777405,87
334,ZTF22abjcoul,536.427429,13
335,ZTF19abiaxpi,534.260010,34
336,ZTF22aanbknv,530.456299,26
337,ZTF18abvpnnb,529.738708,510
338,ZTF18acrukpd,524.706543,996
339,ZTF22aaoelug,520.871033,16
340,ZTF23aaeufns,518.813354,14
341,ZTF24aagfewl,514.506653,41
342,ZTF25ablzfdm,513.145569,22
343,ZTF19aayfhtc,509.791138,15
344,ZTF20acwstfs,505.231873,27
345,ZTF22abwlapx,503.388977,19
346,ZTF23aaecsou,501.442230,13
347,ZTF24abstpyc,498.838776,25
348,ZTF21aadrcaa,497.372894,14
349,ZTF24abojqpw,493.346985,14
350,ZTF19aaqgxpy,493.344391,27
351,ZTF21abgfuut,492.587769,15
352,ZTF26aanuiuw,491.785797,23
353,ZTF18aabfqzc,491.328064,1799
354,ZTF18abtilmc,491.213531,148
355,ZTF20aavddlc,490.753845,36
356,ZTF20acpziet,489.528198,12
357,ZTF22aaoncel,485.581238,32
358,ZTF19aapfyob,481.605896,891
359,ZTF21abxlpkc,481.132507,40
360,ZTF18ablqwyo,480.800232,358
361,ZTF20aavptjv,473.762207,15
362,ZTF19abjswdz,472.248505,13
363,ZTF24aaowdnk,469.930298,15
364,ZTF18acrvrma,469.001953,330
365,ZTF25aagxhfp,466.694733,20
366,ZTF20acopavl,463.443024,17
367,ZTF19aadhajp,456.743195,399
368,ZTF17aabwdsa,454.068054,708
369,ZTF20abjwntl,454.004517,12
370,ZTF20aacbwbm,450.917450,433
371,ZTF24aascytf,450.816284,36
372,ZTF18abtmzoi,449.440186,731
373,ZTF20abmdplx,442.051544,561
374,ZTF22abmzydy,440.208496,22
375,ZTF21aaxvcmj,439.931976,27
376,ZTF18acaqbgu,439.635101,117
377,ZTF25aavimex,436.409546,108
378,ZTF21abcnpnk,435.354340,41
379,ZTF24aaqzmba,433.322723,22
380,ZTF18adkxyub,429.269348,343
381,ZTF22abmxmru,425.325165,16
382,ZTF23aanxtnx,424.504730,27
383,ZTF20aasiitv,423.938904,34
384,ZTF22aafuseq,422.659821,14
385,ZTF24aaadwur,421.884766,28
386,ZTF21acjvhxk,421.068665,11
387,ZTF23aaixbvn,420.249817,16
388,ZTF22aayjzmc,413.420135,18
389,ZTF18abvazxu,410.363678,490
390,ZTF18adasxhd,404.624207,631
391,ZTF25abmkbaa,403.555145,21
392,ZTF19aayiili,400.927094,341
393,ZTF24aaulmlv,394.007935,13
394,ZTF20acwfgiy,389.616425,35
395,ZTF24aakbqjh,387.664917,32
396,ZTF23abkjgvr,386.628052,21
397,ZTF19abmrnpl,385.609528,411
398,ZTF25abupawo,382.447021,21
399,ZTF20abgvpjt,381.191589,53
400,ZTF19abgdcyx,378.403900,34
401,ZTF19abzrdry,378.009857,10
402,ZTF24aaowblc,375.637360,18
403,ZTF20acpkjsn,373.417908,65
404,ZTF18aacdblq,371.801208,15
405,ZTF20abnbcsh,370.782990,19
406,ZTF23absmnfp,370.190613,19
407,ZTF19aaqtpet,370.151398,1089
408,ZTF26aajpoid,367.983582,44
409,ZTF18abnuekr,367.116577,236
410,ZTF22abnqcdc,366.681213,15
411,ZTF19adajren,364.705353,33
412,ZTF19abkrlew,363.204498,29
413,ZTF18adrtysy,362.378357,52
414,ZTF19acbolha,359.654602,741
415,ZTF22aaiopft,358.342041,33
416,ZTF26aahaesb,358.264740,83
417,ZTF21aaxwcqm,357.630280,35
418,ZTF19aditabo,354.147919,729
419,ZTF19ablhjzt,354.147888,729
420,ZTF18abcsuit,353.407928,658
421,ZTF20aafkqmu,346.232971,26
422,ZTF18acgxjuy,343.069550,14
423,ZTF20aawxihg,340.551025,767
424,ZTF20aapslcw,339.370300,52
425,ZTF17aacedyd,337.421478,544
426,ZTF20abwavab,336.340515,109
427,ZTF19ackxmva,336.286133,801
428,ZTF24aaoauvb,334.794464,19
429,ZTF18abuyhea,333.448944,548
430,ZTF19aasebbu,332.122040,911
431,ZTF18acuepcb,330.152466,612
432,ZTF19aczkjai,328.608124,12
433,ZTF19abyjmei,326.909210,507
434,ZTF18acalqbv,323.788574,308
435,ZTF21abbfjza,322.907257,18
436,ZTF24aadrjjn,321.909302,13
437,ZTF20abeglzu,321.751801,41
438,ZTF20aagkldb,321.150024,196
439,ZTF24aaosszo,321.104950,14
440,ZTF25ablyuor,320.382874,38
441,ZTF19abicwdn,319.164734,79
442,ZTF19aalcqff,316.963837,539
443,ZTF22aaikall,312.863953,306
444,ZTF20aclitye,312.604218,312
445,ZTF24aaaisgd,312.505219,330
446,ZTF18abyfcns,312.405334,1129
447,ZTF20aagzfsz,311.347473,15
448,ZTF26aawhrep,307.540009,17
449,ZTF22aapfrho,304.259399,16
450,ZTF19abymhad,302.704620,12
451,ZTF22abyytvh,302.229309,19
452,ZTF19abcupln,300.425140,12
453,ZTF25abutvsf,299.818237,23
454,ZTF23aaiyexs,299.662811,19
455,ZTF25aclbntw,298.130371,12
456,ZTF21abbwwue,297.670166,26
457,ZTF21abistmz,296.432770,14
458,ZTF21abahyyj,294.223969,30
459,ZTF20abgffci,291.721954,17
460,ZTF22aacfphd,289.917694,15
461,ZTF25acgsoal,288.981659,53
462,ZTF20abzumlr,288.402863,28
463,ZTF18abfcajo,288.201141,34
464,ZTF19acgjyte,287.716400,15
465,ZTF19aawudku,287.388702,15
466,ZTF19abbxsbx,286.118042,227
467,ZTF23aakhtqo,285.734650,13
468,ZTF25abxyfwb,283.852600,16
469,ZTF18absrlhv,283.500305,2447
470,ZTF25acfzvap,282.991913,12
471,ZTF19abcegcy,282.485199,202
472,ZTF18aauyrlg,281.617615,19
473,ZTF21abccaue,281.245544,29
474,ZTF26aakqlaf,280.780304,75
475,ZTF19abbfeeb,280.266846,1183
476,ZTF24abfrdua,280.054260,16
477,ZTF20achnfau,278.460052,18
478,ZTF18acpdrwv,275.302429,604
479,ZTF18aakzxki,274.696442,796
480,ZTF18aaouezy,273.548950,22
481,ZTF17aadswom,272.398254,261
482,ZTF20abjwobc,269.450165,21
483,ZTF22aaektkm,267.794708,41
484,ZTF18aazsprm,264.850525,857
485,ZTF22aafrsmk,262.007111,15
486,ZTF18abvfafa,260.154053,1543
487,ZTF25abeprnk,259.319000,63
488,ZTF23aaxcriv,258.589813,57
489,ZTF20abjksgj,258.020691,40
490,ZTF26aaaehuj,257.594299,95
491,ZTF24abbgjue,257.230377,24
492,ZTF19acbmwtc,256.806122,10
493,ZTF23aaczpkm,256.670502,29
494,ZTF18aaivvmd,256.583344,1702
495,ZTF25acbjqvq,256.262848,57
496,ZTF22aavzfwp,256.219208,26
497,ZTF19abjrkqn,256.120728,12
498,ZTF23abaaaph,254.651764,26
499,ZTF20acgmvsn,254.617950,25
500,ZTF18abcccnr,254.471573,614
501,ZTF26aafqkov,253.626801,51
502,ZTF21abbaerh,253.559570,22
503,ZTF20achvdtx,252.621780,33
504,ZTF19aawxrtk,252.268433,71
505,ZTF26aagabbl,249.262054,32
506,ZTF22aakethm,249.066406,31
507,ZTF18abgmmso,248.410248,20
508,ZTF19accobqx,248.368546,18
509,ZTF24aaoebqp,248.212250,112
510,ZTF23abarvgy,247.510971,35
511,ZTF25acatfer,246.783020,26
512,ZTF18absafkt,246.606079,45
513,ZTF19aaprcke,246.500290,152
514,ZTF18abukcjm,244.888062,238
515,ZTF18admcdpl,243.885178,10
516,ZTF20aattriw,243.366852,47
517,ZTF18aawygjb,241.747086,380
518,ZTF19abkhsda,241.625732,481
519,ZTF25aajbcmc,241.263657,25
520,ZTF23aboemfi,241.233414,29
521,ZTF19aamjsyl,240.916580,40
522,ZTF21acmtlpo,240.785690,28
523,ZTF19aaimjzn,240.469955,714
524,ZTF22aajhiri,239.996185,17
525,ZTF25aavkuxo,239.740326,41
526,ZTF24aawxqjl,239.351379,47
527,ZTF19acqypso,238.251190,50
528,ZTF25acfiphl,237.143768,16
529,ZTF18aaynsed,235.050186,1553
530,ZTF26aalkcfg,234.706833,11
531,ZTF18aavvcie,233.951065,1003
532,ZTF21aapjksm,233.802200,64
533,ZTF26aabdrrs,232.917419,93
534,ZTF22aaohbyr,231.423752,16
535,ZTF20acnznms,231.382874,119
536,ZTF22aatuxjc,230.700302,24
537,ZTF18aabgcoj,229.779816,945
538,ZTF19abcndum,227.604935,14
539,ZTF22aafwyzb,226.229279,30
540,ZTF18aaxawqs,226.171768,1399
541,ZTF21aaaytyv,224.032364,288
542,ZTF25aayrvqz,221.291336,26
543,ZTF23abiwnpj,220.619598,68
544,ZTF18abqsfrc,219.925705,19
545,ZTF21abuydim,218.974411,15
546,ZTF21abippod,218.441574,12
547,ZTF24abbtmqs,218.424942,27
548,ZTF21aaeoitd,217.131958,32
549,ZTF18abhgrff,217.106445,80
550,ZTF19aacuhjf,216.047150,378
551,ZTF21abylukk,215.997192,20
552,ZTF19abzfgtf,215.809387,18
553,ZTF22aarwtjh,214.149673,14
554,ZTF20acimhna,212.558624,13
555,ZTF24abvuydm,211.711166,22
556,ZTF24abfnkzm,209.536804,18
557,ZTF22aafytvb,208.555267,29
558,ZTF18acmznfc,208.518082,39
559,ZTF20acwkvgj,206.963638,19
560,ZTF19aaefuzh,205.969437,275
561,ZTF20acilzkh,204.568115,49
562,ZTF20aaurjnn,203.464508,15
563,ZTF22aadlnaf,200.820267,30
564,ZTF22abyprft,200.716217,17
565,ZTF21abqvyeq,200.519882,17
566,ZTF19abcaeso,200.144669,81
567,ZTF25abmvvxh,199.870255,21
568,ZTF22abdvqqn,199.671097,30
569,ZTF21aaxtfri,199.330475,21
570,ZTF21aagtykb,199.201340,1280
571,ZTF23aaqqeez,199.178818,19
572,ZTF24aaekazg,196.386429,38
573,ZTF20aahuqep,195.591217,407
574,ZTF24aaqegmv,194.425644,20
575,ZTF19aaueiob,194.337280,187
576,ZTF19acfvqet,194.015045,35
577,ZTF21abcmlzt,192.064423,42
578,ZTF23abidsyg,191.289322,136
579,ZTF23aamsavc,190.923706,16
580,ZTF21abcfobn,190.222031,15
581,ZTF18abrwpyz,189.884842,339
582,ZTF20actawpa,189.793427,99
583,ZTF19acxyuel,189.527985,14
584,ZTF21acgujax,188.261124,15
585,ZTF24aajqzfp,187.911194,15
586,ZTF23aajenxf,186.981094,31
587,ZTF23aajjzbm,185.661667,71
588,ZTF24abdgglp,185.150253,22
589,ZTF25ablgkgi,185.114456,40
590,ZTF19aadfumv,184.616959,216
591,ZTF21aaqyuun,183.591003,114
592,ZTF19acftmwa,183.392868,12
593,ZTF19aamnvaq,181.117981,41
594,ZTF22aadpgmo,181.102219,19
595,ZTF20abgnoma,180.647629,39
596,ZTF18aapbhra,180.310989,18
597,ZTF22aaljkna,180.156815,20
598,ZTF21aathatq,180.101929,24
599,ZTF22abgdowr,179.556076,22
600,ZTF23aaweqva,179.488922,32
601,ZTF23abbaqbs,179.226898,25
602,ZTF20aatruwg,176.624771,24
603,ZTF20abtjjhb,174.149689,91
604,ZTF18aafpokr,174.087723,120
605,ZTF19acmwfli,173.381165,24
606,ZTF21abdpios,173.201813,20
607,ZTF19abddqhy,172.308228,14
608,ZTF20abrnjkj,171.693176,11
609,ZTF26aatdbpf,171.319290,45
610,ZTF24aavbvje,170.356430,35
611,ZTF20aafmdzj,169.811493,18
612,ZTF21abchaya,169.359329,203
613,ZTF18aaanjgg,169.108490,734
614,ZTF24abcknpt,168.907074,12
615,ZTF20abpyplw,168.868652,43
616,ZTF19aaakyne,167.947586,271
617,ZTF17aaasnui,167.374207,1259
618,ZTF25aawafjc,166.476273,25
619,ZTF23aacqrtf,165.037018,295
620,ZTF21acgtbej,164.830246,19
621,ZTF23aatxeki,164.462326,38
622,ZTF22aasojye,164.181900,74
623,ZTF26aaglxdu,164.164688,26
624,ZTF26aasjrxx,162.769028,34
625,ZTF19aaumrok,161.809616,25
626,ZTF22aagyrdr,161.675537,60
627,ZTF21absvmds,160.412369,18
628,ZTF24aalcopl,159.155304,18
629,ZTF18acjmicj,158.300110,78
630,ZTF21aaaempw,158.284225,21
631,ZTF18aabhkoo,157.854279,779
632,ZTF24aaheozq,156.838409,14
633,ZTF24aawshuy,156.642288,45
634,ZTF18abcttsl,155.594040,680
635,ZTF20aaifxwq,155.155289,38
636,ZTF20acmyurf,152.677811,17
637,ZTF21acclnml,152.665726,22
638,ZTF23aaxffza,152.424728,12
639,ZTF22abmnqvw,151.398819,15
640,ZTF25aaortzp,150.886307,32
641,ZTF24abiktwr,150.119385,38
642,ZTF25aarefui,149.858932,25
643,ZTF20adcdadz,149.300552,245
644,ZTF19abbnamr,148.961655,188
645,ZTF19acjdufa,148.449677,16
646,ZTF23aakaafq,148.166412,11
647,ZTF19adcerlj,146.943329,19
648,ZTF19aamkwxk,146.668167,611
649,ZTF19aamoyyw,146.668167,611
650,ZTF20abgwffm,146.560440,15
651,ZTF20abeniqw,146.425385,418
652,ZTF25aavsvxu,146.370941,26
653,ZTF25abygyib,145.148010,18
654,ZTF19acxyumq,144.999573,63
655,ZTF18adjomns,144.817810,1004
656,ZTF21aaaovua,144.356812,21
657,ZTF20aabqamf,143.686951,16
658,ZTF25acberoe,143.592682,52
659,ZTF22abkisoc,143.469360,49
660,ZTF24abrhwmu,142.402191,24
661,ZTF20acfkkyf,142.387985,30
662,ZTF24abvyvkx,142.228363,24
663,ZTF18aarwxum,141.425797,131
664,ZTF20aadzbcf,140.915649,106
665,ZTF20aavnnat,140.218842,185
666,ZTF20acpprmy,139.955139,18
667,ZTF20abvvjxy,139.911194,15
668,ZTF22abwsxvg,139.650970,12
669,ZTF20abyvbcu,139.553726,15
670,ZTF23aafhfwx,139.445663,22
671,ZTF18acvhqfj,138.849350,728
672,ZTF18abhboqu,138.315979,19
673,ZTF26aaaldio,138.099548,96
674,ZTF20acwuiuo,138.007523,25
675,ZTF24aavcabo,137.823257,26
676,ZTF26aagbzrh,137.534515,30
677,ZTF18abtzdwo,136.675079,1575
