rank,object_id,score,score_norm,n_obs
290,ZTF21aapvoqy,19.777956,97.39,14
291,ZTF21abrgqfr,44.422573,97.39,25
292,ZTF21aavqior,37.185158,97.37,19
293,ZTF22aakjjjj,26.170414,97.35,11
294,ZTF26aaixbao,19.728275,97.34,14
295,ZTF19aciuenw,36.755424,97.33,21
296,ZTF22aarrrgb,41.889065,97.32,26
297,ZTF20achvmpk,68.083740,97.31,39
298,ZTF20acmyxdb,19.379549,97.30,16
299,ZTF18abcccnr,1226.812134,97.30,614
300,ZTF19abpuyvi,72.625175,97.29,51
301,ZTF26aaabgkd,36.073872,97.29,20
302,ZTF21abrlwud,24.877016,97.28,10
303,ZTF17aadswom,735.116455,97.26,261
304,ZTF23aadcgjn,18.577021,97.25,17
305,ZTF21aamwlzd,39.809723,97.25,25
306,ZTF22abudhzo,35.564873,97.24,20
307,ZTF17aaaemzh,221.686722,97.22,110
308,ZTF25aanzrcx,65.270348,97.22,33
309,ZTF20abpxvhj,24.689816,97.21,11
310,ZTF19aayihhh,168.541870,97.21,90
311,ZTF23aajduvy,18.487083,97.21,17
312,ZTF17aabzdfo,35.251007,97.20,21
313,ZTF23abubpjg,156.138565,97.20,159
314,ZTF19aavisrq,138.186386,97.19,64
315,ZTF18aakpzqg,714.932373,97.18,522
316,ZTF25acgdhfj,39.591549,97.18,30
317,ZTF17aabzjxl,34.314556,97.16,22
318,ZTF22aafracj,18.474428,97.16,15
319,ZTF22abfvsbt,23.067831,97.15,13
320,ZTF24aaeolmt,67.342995,97.14,53
321,ZTF19aburqpi,63.732288,97.12,38
322,ZTF19adflufg,33.798580,97.12,22
323,ZTF18acgxjuy,18.017677,97.11,14
324,ZTF25acfkvbq,38.020458,97.11,30
325,ZTF22abhfkar,33.283932,97.08,20
326,ZTF20acpkmtf,22.122852,97.08,11
327,ZTF21acfigoo,17.727600,97.07,17
328,ZTF22abgcigh,32.297997,97.04,19
329,ZTF26aaacjxc,37.935825,97.04,27
330,ZTF23aajaaqm,54.192039,97.03,41
331,ZTF19acesxei,17.608170,97.02,15
332,ZTF23aadhssd,22.071413,97.02,13
333,ZTF22aafapqe,32.212040,97.00,19
334,ZTF18acsxguy,66.846085,96.99,49
335,ZTF26aastceo,17.479156,96.98,17
336,ZTF21abgxudc,36.623363,96.97,29
337,ZTF19aaeoulo,32.042774,96.96,19
338,ZTF25abjjlgl,133.232941,96.96,66
339,ZTF22aaudmvw,21.998774,96.95,13
340,ZTF25aaisnsy,52.369022,96.94,43
341,ZTF21abmdfyi,17.415598,96.93,16
342,ZTF24abxzhim,31.056789,96.92,23
343,ZTF21aaqqmko,34.604645,96.89,25
344,ZTF20acberca,17.350674,96.89,15
345,ZTF21acgzwzr,21.714521,96.88,13
346,ZTF21aanijms,30.080252,96.88,18
347,ZTF19abflpfn,52.105026,96.85,38
348,ZTF22aadksbz,66.523346,96.84,56
349,ZTF18acfmhrt,29.071148,96.84,24
350,ZTF21aciqppd,17.316774,96.84,17
351,ZTF20acoxtxr,33.775803,96.82,32
352,ZTF21aaadiap,21.615225,96.82,12
353,ZTF18abyvbmj,159.237137,96.81,101
354,ZTF19acfejbj,28.966915,96.80,21
355,ZTF20aabpeiq,17.201258,96.79,16
356,ZTF21acempzi,28.662500,96.76,23
357,ZTF22abevczq,32.689789,96.75,27
358,ZTF18aawqkva,47.158909,96.75,41
359,ZTF24aahahuu,21.363562,96.75,12
360,ZTF21aaphjyn,17.144094,96.75,17
361,ZTF18abojrnv,127.777344,96.72,63
362,ZTF19aatdcnq,27.871565,96.72,24
363,ZTF21acjoorl,16.910486,96.70,15
364,ZTF19aaxvfgg,64.605789,96.69,49
365,ZTF18aavtxjk,21.194595,96.68,13
366,ZTF19aavmuff,32.402451,96.68,32
367,ZTF25aahweqd,27.810520,96.68,23
368,ZTF19aakvwdu,487.872375,96.67,237
369,ZTF23abaqakp,47.018654,96.66,36
370,ZTF24aaaenwq,16.769405,96.66,17
371,ZTF23aaiyuae,27.456091,96.64,24
372,ZTF18aalldmu,362.988617,96.63,386
373,ZTF20aaytqhd,20.817846,96.62,13
374,ZTF22aasxgjp,32.047878,96.61,30
375,ZTF24aaccbtw,16.721510,96.61,15
376,ZTF23aadvpwt,27.253939,96.60,21
377,ZTF20abzcokk,43.503269,96.57,36
378,ZTF21acfccil,16.504475,96.56,14
379,ZTF21aaqzrat,26.559740,96.56,20
380,ZTF23abhipsi,19.785862,96.55,12
381,ZTF24abizlgp,31.956079,96.54,30
382,ZTF24aadkwol,64.317047,96.54,46
383,ZTF20abjckje,221.686691,96.53,110
384,ZTF19aawolyt,16.475063,96.52,17
385,ZTF23aacfiuv,26.243526,96.52,22
386,ZTF24aazbshu,117.668907,96.49,72
387,ZTF22aajjqhc,19.600546,96.49,13
388,ZTF22aamlsrt,42.932213,96.47,40
389,ZTF25aajqewt,26.090433,96.47,24
390,ZTF24aawtkid,16.354013,96.47,17
391,ZTF19abyuzch,30.980417,96.47,26
392,ZTF23aazqfjf,26.075888,96.43,21
393,ZTF22abeuaan,16.308475,96.43,15
394,ZTF24abzrrxz,19.151751,96.42,13
395,ZTF20aaazrxx,139.975891,96.41,85
396,ZTF25aarutps,30.653154,96.40,30
397,ZTF25abxebsb,25.684628,96.39,23
398,ZTF19abymxrr,64.078384,96.39,48
399,ZTF19acyogrm,41.942856,96.38,40
400,ZTF21acoshvy,16.147514,96.38,16
401,ZTF24aapcdqi,25.635353,96.35,19
402,ZTF20aahcslg,19.007357,96.35,11
403,ZTF19aaydpiq,15.896192,96.34,14
404,ZTF22abfrkoh,30.156460,96.33,26
405,ZTF23aazvcuu,25.072517,96.31,19
406,ZTF26aawtbkb,15.545643,96.29,15
407,ZTF20abjardi,41.935413,96.29,34
408,ZTF21abnvlnj,18.676500,96.29,13
409,ZTF18abobebb,24.614336,96.27,21
410,ZTF18acwfxej,148.601562,96.26,174
411,ZTF19abqhikf,29.952623,96.26,27
412,ZTF19aaklvfd,107.661018,96.25,71
413,ZTF24aadsrit,14.474874,96.24,17
414,ZTF25aappljn,59.995564,96.24,56
415,ZTF19acwbhih,24.421240,96.23,23
416,ZTF21abnabtv,18.112930,96.22,13
417,ZTF23aapxskt,14.105693,96.20,14
418,ZTF25aafwxov,40.447289,96.20,37
419,ZTF18abfxhsz,24.314466,96.19,24
420,ZTF25abskgbv,29.362301,96.19,29
421,ZTF24abzarii,18.021242,96.15,11
422,ZTF18aakuohk,687.387024,96.15,1145
423,ZTF21acjvjyk,14.048873,96.15,15
424,ZTF23abvbwys,23.678389,96.15,22
425,ZTF18acvvslx,29.347281,96.12,31
426,ZTF21acqtdnd,23.425283,96.11,22
427,ZTF21aajvvbn,13.822270,96.11,17
428,ZTF20acaazkt,39.662033,96.10,41
429,ZTF19aaphhzy,57.450989,96.09,44
430,ZTF25aanmiqt,17.953590,96.09,11
431,ZTF23aapgjac,23.325512,96.07,20
432,ZTF19acfduug,13.623901,96.06,14
433,ZTF20acnrvrt,29.177414,96.05,25
434,ZTF19abxdnzt,22.315315,96.03,22
435,ZTF25acegnts,17.743065,96.02,12
436,ZTF25abjlnnh,105.886574,96.02,66
437,ZTF21aaercyl,131.298492,96.02,80
438,ZTF21abaiono,13.420067,96.01,14
439,ZTF21acqscyz,39.469971,96.01,38
440,ZTF18acnggbo,22.202911,95.99,18
441,ZTF20aaveabg,29.163027,95.98,25
442,ZTF24aajqzfp,13.039039,95.97,15
443,ZTF19abfpwia,17.640360,95.95,12
444,ZTF20achzbfb,21.381239,95.95,19
445,ZTF18abcsatf,991.067932,95.95,644
446,ZTF19aaxonkh,57.209019,95.94,50
447,ZTF24aaskjim,12.979886,95.92,14
448,ZTF21aatyplr,39.449421,95.92,40
449,ZTF25acbydmq,20.221857,95.91,18
450,ZTF20abzumlr,28.741316,95.91,28
451,ZTF18abwutne,594.474304,95.89,285
452,ZTF21aajjwoa,17.557226,95.89,11
453,ZTF24aagkvvm,12.899099,95.88,15
454,ZTF18acxgumg,20.215494,95.87,22
455,ZTF23abbxvco,28.335541,95.84,26
456,ZTF19aatmqlm,216.663498,95.83,109
457,ZTF25aajsdjg,12.470375,95.83,17
458,ZTF22aaknmsp,20.079165,95.83,21
459,ZTF19aawrpwn,39.404797,95.83,36
460,ZTF25abxfxna,17.119455,95.82,11
461,ZTF24aaejvcx,56.044430,95.79,50
462,ZTF21achpuoa,19.885580,95.79,20
463,ZTF22aamgjgu,11.945880,95.79,16
464,ZTF19abzgccc,103.881241,95.78,71
465,ZTF18absixwd,441.799561,95.77,500
466,ZTF19adbmugl,27.405052,95.77,25
467,ZTF21abtpwuk,16.814178,95.76,13
468,ZTF25aarutoh,19.597351,95.75,20
469,ZTF26aaunaud,11.871507,95.74,17
470,ZTF19aaqbbjj,38.769981,95.73,34
471,ZTF23aadvtxf,19.306335,95.71,21
472,ZTF18adkqdgj,26.805033,95.70,25
473,ZTF19achcdju,11.809394,95.69,16
474,ZTF19abrlznf,16.608805,95.69,12
475,ZTF22aafarws,19.230028,95.66,18
476,ZTF21acitbcw,11.669125,95.65,15
477,ZTF19aaxwbrc,38.686398,95.64,42
478,ZTF18aaaecnk,53.791824,95.64,44
479,ZTF25acegmcy,26.780340,95.62,30
480,ZTF20acgqikf,19.229210,95.62,18
481,ZTF17aabbwwl,16.604239,95.62,11
482,ZTF21abtdlno,113.064445,95.62,80
483,ZTF19abhxllw,11.567390,95.60,17
484,ZTF22aaemoot,18.664934,95.58,22
485,ZTF24abiesnr,16.555311,95.56,11
486,ZTF25acgcyig,11.441564,95.56,17
487,ZTF17aabwdlv,343.556427,95.56,247
488,ZTF24aamvzfc,25.840401,95.55,29
489,ZTF20aavtaib,97.722488,95.55,67
490,ZTF25abomvjx,37.678680,95.55,40
491,ZTF24aatezue,18.496931,95.54,18
492,ZTF21achpqlr,11.257160,95.51,16
493,ZTF18aacktzu,294.495728,95.51,365
494,ZTF22abjmsuh,18.333321,95.50,18
495,ZTF20acwtqim,16.478531,95.49,11
496,ZTF17aabutmm,51.908024,95.49,53
497,ZTF24aajhotx,25.333654,95.48,30
498,ZTF26aaalaxm,11.132976,95.46,15
499,ZTF26aaqyupj,18.067871,95.46,22
500,ZTF22abmygmc,37.226391,95.45,33
501,ZTF20aavgmli,16.190727,95.42,10
502,ZTF18admaaig,17.997478,95.42,19
503,ZTF23abiieis,11.128191,95.42,17
504,ZTF26aajsfri,24.723696,95.41,29
505,ZTF20abeeytg,17.951593,95.38,21
506,ZTF21acgxypn,10.999821,95.37,17
507,ZTF23aadceqv,34.779015,95.36,36
508,ZTF20achwhfm,16.001507,95.36,10
509,ZTF24abofmrg,24.217226,95.34,27
510,ZTF25aaduxhj,17.931606,95.34,19
511,ZTF26aasmsqg,49.573498,95.34,54
512,ZTF24abpkhwi,10.717741,95.33,17
513,ZTF18aabgpcg,125.271622,95.33,186
514,ZTF20abpqbgi,94.326569,95.32,59
515,ZTF23aanzozj,17.564016,95.30,22
516,ZTF24abcnmsw,15.993392,95.29,11
517,ZTF23aaptwaz,10.217132,95.28,15
518,ZTF21abgjdtt,23.903425,95.27,27
519,ZTF21abotjym,34.528763,95.27,39
520,ZTF24aajqarq,17.442879,95.26,19
521,ZTF24abcclee,690.386719,95.24,935
522,ZTF19abgnafl,10.014356,95.24,15
523,ZTF24ablflcx,15.526840,95.23,13
524,ZTF21abouwjj,111.834175,95.22,89
525,ZTF20abafqkq,17.292677,95.22,18
526,ZTF18acatlzi,23.685690,95.20,25
527,ZTF22aalfmec,9.957360,95.19,17
528,ZTF25ackdapv,47.754730,95.19,44
529,ZTF25acefwkx,17.231220,95.18,21
530,ZTF24aahaajg,33.981777,95.18,37
531,ZTF19aavnotr,15.251104,95.16,13
532,ZTF20acjjkhr,9.807170,95.14,16
533,ZTF19aajxwsq,192.081314,95.14,118
534,ZTF20aabrsjq,16.815239,95.14,18
535,ZTF23aaiyjbk,23.531200,95.13,25
536,ZTF22aadfbbs,9.795839,95.10,17
537,ZTF21acincqb,16.584770,95.10,18
538,ZTF19abnrbhg,15.090612,95.09,10
539,ZTF26aauunhp,33.608017,95.08,36
540,ZTF18acavmlk,94.294327,95.08,62
541,ZTF22aaoiddx,23.506952,95.06,28
542,ZTF22aatbgqf,16.557981,95.06,20
543,ZTF18aayyqia,9.574308,95.05,15
544,ZTF25acegldm,47.390034,95.04,45
545,ZTF25achdubq,14.928377,95.03,10
546,ZTF20aatwonv,16.386030,95.02,18
547,ZTF18aavsilo,9.389914,95.01,14
548,ZTF20abovoji,33.454971,94.99,42
549,ZTF18aawlfnj,22.680120,94.99,32
550,ZTF24aayhjxz,16.339552,94.98,22
551,ZTF25abxrwbw,9.128098,94.96,15
552,ZTF25aaizwbd,14.820879,94.96,12
553,ZTF25aapwiux,16.294195,94.94,22
554,ZTF26aawdxet,22.485508,94.92,32
555,ZTF25acldzel,8.884277,94.92,14
556,ZTF21abxfyaw,33.243095,94.90,41
557,ZTF20aagzchj,16.220657,94.89,22
558,ZTF23aarlxdf,14.787421,94.89,12
559,ZTF19adbqznr,46.681667,94.89,50
560,ZTF23abndank,8.853114,94.87,15
561,ZTF18adbmrug,16.129068,94.85,23
562,ZTF22aatnyqk,21.089930,94.85,32
563,ZTF19abljazb,83.105637,94.85,77
564,ZTF21ackbkoy,14.733065,94.83,13
565,ZTF22aatcpoo,8.703814,94.82,17
566,ZTF25aaccmjq,82.621567,94.82,82
567,ZTF25aatdvzt,16.102427,94.81,24
568,ZTF23aaiuadl,32.998627,94.81,41
569,ZTF23aaqmauw,8.602690,94.78,15
570,ZTF19abrimzd,20.975723,94.78,32
571,ZTF25acfqnpb,15.969252,94.77,19
572,ZTF18aahwhbk,14.286076,94.76,12
573,ZTF18adaabii,44.681240,94.74,50
574,ZTF20abuocri,15.703075,94.73,18
