,objectId,decmean,decstd,ramean,rastd,glatmean,glonmean,jdgmax,gmag,dmdt_g,dmdt_g_2,mag_g02,mag_g08,mag_g28,maggmax,maggmean,maggmin,jdrmax,mag_r02,mag_r08,mag_r28,rmag,dmdt_r,dmdt_r_2,magrmax,magrmean,magrmin,jdmax,jdmin,ncand,ncandgp,distpsnr1,sgscore1,sgmag1,srmag1,htm16,g_minus_r,jd_g_minus_r,ncandgp_7,ncandgp_14,ssnamenr,dmdt_g_err,dmdt_r_err,z,classification,classificationReliability,distance,separationArcsec,tns_name,tns_type,host_name
21,ZTF18aabopru,8.873431599999998,0.09415410078614456,157.94991757368425,0.0702544251045974,52.32045783281045,235.25561358993042,2461179.676088,18.944,-0.25965,-0.0495011,18.7676,18.489,18.6767,19.0302,18.7211,18.189,2461185.7170949,17.9735,17.959,18.2228,17.9181,0.276038,,19.3104,17.9667,16.1282,2461185.7170949,2461159.6926736,19,10,0.0627492,0.796167,16.2764,18.6148,61041236120,-0.071701,2461176.7683218,3.0,7.0,,0.0575287,0.0496856,,CV,1.0,0.0,0.064,2025yl,,
22,ZTF18aacedbw,34.74560055833333,0.21495986858260618,145.411222375,0.24557872283315887,48.974970656284356,190.17968727367656,2459703.6754167,19.8819,-0.0333443,-0.0890934,19.8337,19.7019,19.5825,19.8819,19.618,19.3906,2459697.6782292,19.3365,19.3604,19.3617,19.3244,0.0243773,-0.0155274,19.4214,19.3683,19.3244,2459703.6754167,2459682.7025926,12,10,0.929576,0.0470833,18.4322,17.8094,64189586125,0.328899,2459697.7176505,5.0,7.0,,,,,NT,1.0,255.35,0.81,2022htv,,
23,ZTF18aacktzu,45.5028061117647,0.15982816564896227,124.04515177647058,0.2539558479060292,33.41308149269878,174.45892187083953,2461059.8315625,16.3658,-0.025153,-0.442152,17.0196,18.6819,19.4535,20.5239,18.8075,16.3387,2461058.7815394,17.0163,18.2282,19.2347,16.2788,0.669332,-0.658907,20.1666,18.3607,16.2788,2461059.8315625,2461029.9157755,17,10,0.0482303,0.99075,19.4634,19.0451,63531886340,0.0599003,2461058.7552315,6.0,8.0,,0.0636519,0.0642173,,CV,1.0,0.0,0.029,2020dkd,,
24,ZTF18aaclktf,47.489711140000004,0.16042071805987884,128.40974795,0.26149847157231015,36.54901468681564,172.29718429249164,2461055.9247338,19.7964,0.0377668,0.00399155,19.8241,19.8355,19.7125,19.8753,19.7521,19.521,2461057.807581,19.3627,19.4065,19.3703,19.2597,0.192642,0.157516,19.6341,19.384,19.2597,2461057.807581,2461029.9374884,10,10,0.131688,1.0,18.4332,18.3262,63539517568,0.1623,2461055.9247338,6.0,6.0,,0.117873,0.141125,,AGN,1.0,5689.87,0.021,2017eo,,
25,ZTF18aacqksn,48.03704166,0.11595802854734993,110.94957446999999,0.2812374308184317,25.011888392619174,169.86041885682036,2459176.8899306,19.9318,0.00355652,0.0118448,125.184,21.6971,20.6081,20.3936,20.055,19.9242,2459176.9253125,109.058,20.3365,19.9604,20.0254,0.0907257,0.0166995,20.0254,19.8667,19.7545,2459176.9253125,2459164.0107986,10,10,0.157133,0.00375,19.6989,18.7927,63584291512,0.0784016,2459165.8750231,5.0,10.0,,-0.119227,-0.121013,,SN,2.0,,0.37,2020zdg,,
26,ZTF18aacsudg,41.23097664,0.24055560966689482,136.27791575999998,0.29685160800495525,42.002767291565114,180.57377439797193,,,,,,,,,,,2458876.788206,46029.3,21.4268,19.9033,19.6803,-0.0809454,-0.110738,19.9224,19.744,19.4991,2458876.788206,2458846.9456366,10,10,0.215905,0.054405,17.92,17.4936,64265745506,,,4.0,5.0,,,-0.0897906,,NT,1.0,109.95,0.34,2019pxz,,
27,ZTF18aadvsxy,42.06464682,0.07893377437229591,110.66509464,0.3422165074700621,23.28023649297468,176.12908304777952,2459120.9763079,19.1385,0.268448,0.0750055,137979.0,45.9165,22.3697,20.5097,19.7314,18.8616,2459124.9752546,347771.0,37.5008,20.8793,18.9981,7.25116,0.0219445,19.6872,19.2783,18.8232,2459124.9752546,2459095.9859144,10,10,,,,,63604414846,-0.136499,2459097.0173958,6.0,6.0,-999.0,-0.340052,-8.29409,,NT,1.0,314.02,0.25,2020shn,,
28,ZTF18aaeipng,34.00441117,0.1801300606126275,122.60504891000001,0.23825938232866253,30.28301412329982,187.5598807808898,,,,,,,,,,,2459825.0079514,19.7133,19.6992,19.7095,19.7172,0.0134327,-66.694,19.9061,19.6333,19.4684,2459825.0079514,2459819.0053009,10,10,0.176411,0.5,-999.0,-999.0,64331417557,,,10.0,10.0,,,0.139722,0.017,NT,1.0,75.44,0.0,2022eji,SN IIb,
29,ZTF18aaejisa,33.84413328181818,0.12167620611067544,122.9629362,0.18506432100071346,30.53226081421899,187.82365964666135,2459550.7984722,20.1611,-0.00173694,-0.0135056,20.1611,20.158,20.1428,20.1887,20.1399,20.1019,2459550.89,20.0995,20.1128,20.2525,20.0996,-0.00520695,0.0184077,20.4799,20.2141,20.0272,2459550.89,2459522.0057755,11,10,1.50472,0.00583333,19.08,18.7663,64331231511,0.00839996,2459531.9725231,1.0,2.0,,,,,SN,2.0,384.99,1.31,2021adfy,,
30,ZTF18aaekrwv,43.54364784,0.18038343800079445,113.51086183,0.31923106518613475,25.681456090530638,175.15881607757373,2460790.7888079,19.5035,0.0455618,0.0291994,19.5346,19.4609,19.2644,19.5957,19.3523,19.0933,2460804.7265394,19.1432,19.1291,18.9454,19.1423,0.00624978,0.0190702,19.1921,18.9914,18.6417,2460804.7265394,2460774.7367245,10,10,0.579042,0.0577917,18.222,17.5388,63616624628,0.41,2460781.7000231,1.0,3.0,,0.136522,0.029702,,AGN,1.0,0.0,0.571,2024sjn,,
31,ZTF18aafbgpy,27.13870847272727,0.38136259448192117,132.1333363409091,0.28923912279871233,36.53211662387007,197.96318950438237,2459904.9213079,20.2801,2.34752,0.313161,20.1673,19.8896,19.9224,20.3189,19.8756,19.4456,2459904.9521644,19.8446,19.7304,19.6287,19.8866,-0.0489293,9.69249,19.8866,19.6749,19.5361,2459904.9521644,2459880.9302431,22,10,1.00608,0.020375,19.2709,18.3666,64308492954,0.393465,2459904.9213079,3.0,4.0,,24.3807,0.129571,,NT,1.0,584.83,0.85,2022zms,,
32,ZTF18aafzcbw,15.640895720000001,0.19623085408742263,127.62660696666667,0.20515711832684502,28.81440778039021,209.26778088611434,2459265.7024769,20.0151,-0.00969623,0.148853,20.0152,20.1329,20.4015,20.6203,20.1594,19.8718,2459264.7117245,19.8547,19.9963,20.1465,19.914,-0.187568,0.133371,20.241,19.9429,19.7269,2459265.7024769,2459252.767338,15,10,1.26597,0.000625,19.1499,18.2323,63785100231,0.0925007,2459264.8192477,8.0,10.0,,,,,NT,1.0,732.04,1.22,2021itf,,
33,ZTF18aagazmu,29.79366185,0.2075842069138657,119.80779682,0.22085005650394582,26.853782013850743,191.43997310812367,2459199.8585648,19.3041,0.0213913,0.093775,25.9453,19.958,19.6899,19.6171,19.4079,19.2615,2459202.9145139,533.8,20.1104,19.4938,19.3564,0.00307575,-0.0140992,19.42,19.3431,19.2732,2459202.9145139,2459185.892963,10,10,1.17108,0.041708,18.8693,18.5747,64302553364,-0.0116997,2459194.9186574,5.0,9.0,,-0.105956,-0.0590441,,NT,1.0,398.11,1.07,2020abkm,,
34,ZTF18aagkwgz,27.366042200000006,0.26704684982252974,103.23258336666665,0.17025058943280025,12.400892553324038,188.3384721966204,2460614.9904745,19.438,-0.0577285,0.125277,19.4184,19.1481,18.8517,19.438,18.9404,18.5836,2460631.8818866,18.8902,18.7444,18.329,18.8918,-0.019962,0.0489897,18.8918,18.2389,17.8885,2460631.8818866,2460602.9416088,12,10,0.529904,0.177732,17.2469,16.7184,63021681862,1.2827,2460614.9904745,1.0,1.0,,0.0270822,0.021324,0.037759,VS,1.0,0.0,0.549,2024vsi,SN Ia,
35,ZTF18aahfohe,50.82482919047619,0.31288985441277917,184.02983158095242,0.2896062128045878,65.37082343399007,136.38615150936639,2461076.8857639,17.675,0.0923378,-0.135953,17.7843,17.9877,18.0288,18.272,18.0386,17.675,2461076.9466782,17.0731,17.1666,17.1346,17.0169,0.051232,-0.070208,17.3168,17.184,17.0169,2461076.9466782,2461049.9223148,21,10,0.517641,0.5,-999.0,-999.0,57232717538,0.65811,2461076.8857639,3.0,5.0,,0.0613861,0.0419953,,AGN,1.0,135.92,0.505,2018bbm,,
36,ZTF18aahitzc,38.86320477499999,0.1252051608366334,180.73789094166668,0.4051730419229155,74.50381093051664,160.66479805705762,2461076.891713,19.4439,-0.115857,0.0141526,19.3548,19.2117,19.0521,19.4439,19.1496,18.8757,2461054.9155903,19.478,19.5483,19.5863,19.4567,0.0382968,,19.6056,19.5312,19.4567,2461076.891713,2461051.0275116,12,10,0.426223,1.0,19.3504,18.8856,58544236574,-0.439299,2461054.9531019,2.0,4.0,,0.136855,0.0987552,,AGN,1.0,5032.95,0.269,2024mv,,
37,ZTF18aahwhbk,48.69785915999999,0.10238063285688619,200.28188993999999,0.13430723369392042,67.67581515807149,109.96009080518719,2459771.8243287,19.1397,0.274105,-0.465191,15.9123,17.7468,17.9859,19.1397,18.4988,18.0682,2459779.7147454,5.09725,16.9214,17.3619,18.0171,-0.0192305,-0.15908,18.0175,17.8414,17.4759,2459779.7147454,2459768.7019213,10,10,0.718583,0.03175,17.8765,17.1958,59275427206,,,3.0,10.0,,-0.16639,-4.68895,0.0449,NT,1.0,201.63,0.5,2018mbr,SN Ia,
38,ZTF18aahyute,22.589032550000002,0.15316307779545824,214.20200400000004,0.1314172591403337,70.13764211671585,24.423447032175083,2460859.7832755,19.6777,-0.102371,-0.0584164,19.6116,19.655,19.7278,20.018,19.7568,19.4661,2460859.7263889,18.9352,19.0175,19.0989,18.9059,0.0375044,-0.0212886,19.1539,19.042,18.9059,2460859.7832755,2460842.7458102,10,10,0.348834,0.00375,19.0055,17.8813,59469338978,0.771843,2460859.7832755,4.0,8.0,,0.116773,0.0829376,,AGN,1.0,646.039,0.332,2021rcu,,
